player_name,year,target_points,datapoints,points,passing_attempts,passing_completions,passing_yards,passing_touchdowns,passing_interceptions,passing_two_points,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_two_points,receiving_receptions,receiving_yards,receiving_touchdowns,receiving_two_points,fumble_fumbles,fumble_touchdowns
Victor Cruz,2013,6.166666666666667,14,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.214285714285714,71.28571428571429,0.2857142857142857,0.0,0.07142857142857142,0.0
Torrey Smith,2010,9.461538461538462,0,,,,,,,,,,,,,,,,,
Torrey Smith,2011,9.071428571428571,13,9.461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,3.0,0.0,0.0,3.769230769230769,64.61538461538461,0.5384615384615384,0.0,0.0,0.0
Torrey Smith,2012,8.25,14,9.071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.9285714285714286,0.0,0.0,3.4285714285714284,60.57142857142857,0.5714285714285714,0.0,0.0,0.0
Torrey Smith,2013,9.785714285714286,16,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0625,70.5,0.25,0.0625,0.0,0.0
Andrew Hawkins,2010,3.0,0,,,,,,,,,,,,,,,,,
Andrew Hawkins,2011,5.461538461538462,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,2.7142857142857144,0.0,0.0,2.5714285714285716,34.142857142857146,0.0,0.0,0.0,0.0
Andrew Hawkins,2012,4.25,13,5.461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,1.6153846153846154,0.0,0.0,3.923076923076923,41.0,0.3076923076923077,0.0,0.0,0.0
Andrew Hawkins,2013,6.6923076923076925,4,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.0,0.0,2.5,46.5,0.0,0.0,0.0,0.0
Austin Pettis,2010,3.0,0,,,,,,,,,,,,,,,,,
Austin Pettis,2011,4.090909090909091,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,-0.8571428571428571,0.0,0.0,3.2857142857142856,33.42857142857143,0.0,0.0,0.0,0.0
Austin Pettis,2012,4.071428571428571,11,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6363636363636362,23.181818181818183,0.36363636363636365,0.0,0.0,0.0
Austin Pettis,2013,3.75,14,4.071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,28.5,0.2857142857142857,0.0,0.0,0.0
Keary Colbert,2010,2.0,0,,,,,,,,,,,,,,,,,
Keary Colbert,2011,,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.333333333333332,0.0,0.0,0.0,0.0
Keary Colbert,2012,,0,,,,,,,,,,,,,,,,,
Keary Colbert,2013,,0,,,,,,,,,,,,,,,,,
Vincent Brown,2010,5.857142857142857,0,,,,,,,,,,,,,,,,,
Vincent Brown,2011,,7,5.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,45.857142857142854,0.2857142857142857,0.0,0.0,0.0
Vincent Brown,2012,3.357142857142857,0,,,,,,,,,,,,,,,,,
Vincent Brown,2013,1.8333333333333333,14,3.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9285714285714284,33.714285714285715,0.07142857142857142,0.0,0.0,0.0
LaQuan Williams,2010,1.5,0,,,,,,,,,,,,,,,,,
LaQuan Williams,2011,,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,19.5,0.0,0.0,0.0,0.0
LaQuan Williams,2012,,0,,,,,,,,,,,,,,,,,
LaQuan Williams,2013,,0,,,,,,,,,,,,,,,,,
Chastin West,2010,3.4285714285714284,0,,,,,,,,,,,,,,,,,
Chastin West,2011,,7,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,23.285714285714285,0.2857142857142857,0.0,0.0,0.0
Chastin West,2012,,0,,,,,,,,,,,,,,,,,
Chastin West,2013,,0,,,,,,,,,,,,,,,,,
Jordan Norwood,2010,3.5,0,,,,,,,,,,,,,,,,,
Jordan Norwood,2011,6.5,8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,32.0,0.125,0.0,0.0,0.0
Jordan Norwood,2012,,2,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.5,68.5,0.0,0.0,0.0,0.0
Jordan Norwood,2013,,0,,,,,,,,,,,,,,,,,
Jeremy Kerley,2010,4.25,0,,,,,,,,,,,,,,,,,
Jeremy Kerley,2011,5.375,8,4.25,0.125,0.125,5.125,0.0,0.0,0.0,0.25,2.75,0.0,0.0,3.5,38.375,0.125,0.0,0.0,0.0
Jeremy Kerley,2012,5.909090909090909,16,5.375,0.0625,0.0625,2.625,0.0,0.0,0.0,0.3125,0.5,0.0,0.0,3.5,51.6875,0.125,0.0,0.1875,0.0
Jeremy Kerley,2013,4.0,11,5.909090909090909,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,1.0,0.0,0.0,3.8181818181818183,47.45454545454545,0.2727272727272727,0.0,0.0,0.0
DeMarco Sampson,2010,2.0,0,,,,,,,,,,,,,,,,,
DeMarco Sampson,2011,,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0
DeMarco Sampson,2012,,0,,,,,,,,,,,,,,,,,
DeMarco Sampson,2013,,0,,,,,,,,,,,,,,,,,
Niles Paul,2010,2.0,0,,,,,,,,,,,,,,,,,
Niles Paul,2011,3.1666666666666665,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0
Niles Paul,2012,2.0,6,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,25.333333333333332,0.16666666666666666,0.0,0.0,0.0
Niles Paul,2013,4.181818181818182,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,22.5,0.0,0.0,0.0,0.0
Jonathan Baldwin,2010,2.6,0,,,,,,,,,,,,,,,,,
Jonathan Baldwin,2011,3.7777777777777777,10,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.7,0.1,0.0,0.0,0.0
Jonathan Baldwin,2012,1.0,9,3.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111111111111111,35.333333333333336,0.1111111111111111,0.0,0.0,0.0
Jonathan Baldwin,2013,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0
Leonard Hankerson,2010,5.666666666666667,0,,,,,,,,,,,,,,,,,
Leonard Hankerson,2011,4.714285714285714,3,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,54.333333333333336,0.0,0.3333333333333333,0.0,0.0
Leonard Hankerson,2012,5.666666666666667,14,4.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,2.642857142857143,38.57142857142857,0.21428571428571427,0.0,0.0,0.0
Leonard Hankerson,2013,,9,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2222222222222223,41.111111111111114,0.3333333333333333,0.0,0.0,0.0
Cecil Shorts,2010,4.0,0,,,,,,,,,,,,,,,,,
Cecil Shorts,2011,11.083333333333334,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.5,0.0,0.0,0.0
