player_name,year,target_points,datapoints,points,preseason_rank,passing_attempts,passing_completions,passing_yards,passing_touchdowns,passing_interceptions,passing_two_points,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_two_points,receiving_receptions,receiving_yards,receiving_touchdowns,receiving_two_points,fumble_fumbles,fumble_touchdowns,pat_attempts,pat_made,fg_attempts,fg_made,fifty_yd_fg_made,defensive_sacks,defensive_interceptions,defensive_safeties,defensive_fumble_recoveries,defensive_blocked_kicks,defensive_touchdowns,defensive_points_against,defensive_passing_yards_allowed,defensive_rushing_yards_allowed,defensive_total_yards_allowed
Graham Gano,2010,8.4,16,6.25,17,,,,,,,,,,,,,,,,,1.75,1.75,2.1875,1.5,0.0,,,,,,,,,,
Graham Gano,2011,8.166666666666666,15,8.4,63,,,,,,,,,,,,,,,,,1.7333333333333334,1.6666666666666667,2.6666666666666665,2.066666666666667,0.26666666666666666,,,,,,,,,,
Graham Gano,2012,7.875,6,8.166666666666666,16,,,,,,,,,,,,,,,,,3.5,3.3333333333333335,1.8333333333333333,1.5,0.16666666666666666,,,,,,,,,,
Graham Gano,2013,7.6875,16,7.875,15,,,,,,,,,,,,,,,,,2.625,2.625,1.6875,1.5,0.375,,,,,,,,,,
Josh Brown,2010,5.785714285714286,15,7.733333333333333,117,,,,,,,,,,,,,,,,,1.7333333333333334,1.6666666666666667,2.3333333333333335,1.9333333333333333,0.13333333333333333,,,,,,,,,,
Josh Brown,2011,10.75,14,5.785714285714286,99,,,,,,,,,,,,,,,,,1.2857142857142858,1.2857142857142858,1.8571428571428572,1.5,0.0,,,,,,,,,,
Josh Brown,2012,7.285714285714286,4,10.75,107,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.75,0.25,,,,,,,,,,
Josh Brown,2013,7.428571428571429,14,7.285714285714286,167,,,,,,,,,,,,,,,,,2.2142857142857144,2.2142857142857144,1.7857142857142858,1.6428571428571428,0.07142857142857142,,,,,,,,,,
Josh Scobee,2010,5.666666666666667,16,6.9375,143,,,,,,,,,,,,,,,,,2.5625,2.5625,1.75,1.375,0.125,,,,,,,,,,
Josh Scobee,2011,5.857142857142857,15,5.666666666666667,61,,,,,,,,,,,,,,,,,1.6,1.6,1.4,1.2666666666666666,0.13333333333333333,,,,,,,,,,
Josh Scobee,2012,6.6,14,5.857142857142857,128,,,,,,,,,,,,,,,,,1.0714285714285714,1.0,1.7857142857142858,1.5714285714285714,0.07142857142857142,,,,,,,,,,
Josh Scobee,2013,4.866666666666666,15,6.6,158,,,,,,,,,,,,,,,,,1.5333333333333334,1.4666666666666666,1.6666666666666667,1.5333333333333334,0.26666666666666666,,,,,,,,,,
